,Twitter TSLA,Twitter AAPL,Twitter HMNY,Prediction TSLA,Prediction AAPL,Prediction HMNY
10/11/2018,1,1,-1,1,-1,-1
10/12/2018,-1,-1,1,-1,-1,1
