User,Compound_Score,Pos_Score,Neu_Score,Neg_Score
HMNYHQ1,0.4561,0.499,0.501,0.0
HMNYHQ1,0.0,0.0,1.0,0.0
HMNYHQ1,0.0,0.0,1.0,0.0
HMNYHQ1,0.0,0.0,1.0,0.0
HMNYHQ1,0.0,0.0,1.0,0.0
HMNYHQ1,0.4019,0.213,0.787,0.0
HMNYHQ1,0.4019,0.162,0.838,0.0
HMNYHQ1,0.0,0.0,1.0,0.0
HMNYHQ1,0.7964,0.26,0.692,0.048
HMNYHQ1,0.0,0.0,1.0,0.0
HMNYHQ1,-0.5574,0.0,0.783,0.217
HMNYHQ1,0.128,0.2,0.8,0.0
HMNYHQ1,0.0,0.0,1.0,0.0
HMNYHQ1,0.0,0.0,1.0,0.0
HMNYHQ1,0.0,0.0,1.0,0.0
HMNYHQ1,0.4215,0.359,0.641,0.0
HMNYHQ1,0.0,0.0,1.0,0.0
HMNYHQ1,0.6696,0.473,0.527,0.0
HMNYHQ1,-0.0772,0.0,0.939,0.061
HMNYHQ1,0.0,0.0,1.0,0.0
HMNYHQ1,0.4561,0.499,0.501,0.0
HMNYHQ1,0.0,0.0,1.0,0.0
HMNYHQ1,0.0,0.0,1.0,0.0
HMNYHQ1,0.0,0.0,1.0,0.0
HMNYHQ1,0.0,0.0,1.0,0.0
HMNYHQ1,0.0,0.0,1.0,0.0
HMNYHQ1,0.636,0.295,0.705,0.0
HMNYHQ1,0.4926,0.615,0.385,0.0
HMNYHQ1,0.5093,0.397,0.603,0.0
HMNYHQ1,0.0,0.0,1.0,0.0
HMNYHQ1,0.3818,0.302,0.698,0.0
HMNYHQ1,0.5423,0.36,0.64,0.0
HMNYHQ1,-0.0,0.188,0.625,0.188
HMNYHQ1,0.4767,0.253,0.633,0.113
HMNYHQ1,0.0,0.0,1.0,0.0
HMNYHQ1,-0.4767,0.0,0.687,0.313
HMNYHQ1,0.4939,0.348,0.652,0.0
HMNYHQ1,0.0,0.0,1.0,0.0
HMNYHQ1,0.4939,0.198,0.802,0.0
HMNYHQ1,0.6476,0.218,0.782,0.0
HMNYHQ1,0.4003,0.402,0.598,0.0
HMNYHQ1,0.25,0.111,0.889,0.0
HMNYHQ1,0.3612,0.122,0.878,0.0
HMNYHQ1,0.4019,0.172,0.828,0.0
HMNYHQ1,0.7717,0.339,0.661,0.0
HMNYHQ1,-0.25,0.0,0.818,0.182
HMNYHQ1,0.0,0.0,1.0,0.0
HMNYHQ1,0.0,0.0,1.0,0.0
HMNYHQ1,0.0,0.0,1.0,0.0
HMNYHQ1,0.3182,0.18,0.82,0.0
HMNYHQ1,-0.296,0.0,0.905,0.095
HMNYHQ1,0.0,0.0,1.0,0.0
HMNYHQ1,0.3612,0.152,0.848,0.0
HMNYHQ1,0.0,0.0,1.0,0.0
HMNYHQ1,0.4939,0.167,0.833,0.0
HMNYHQ1,0.4215,0.237,0.763,0.0
HMNYHQ1,0.0,0.0,1.0,0.0
HMNYHQ1,-0.3612,0.0,0.839,0.161
HMNYHQ1,0.4019,0.179,0.821,0.0
HMNYHQ1,0.128,0.143,0.857,0.0
HMNYHQ1,0.128,0.158,0.842,0.0
HMNYHQ1,0.4926,0.138,0.862,0.0
HMNYHQ1,-0.3612,0.096,0.719,0.186
HMNYHQ1,0.4939,0.151,0.849,0.0
HMNYHQ1,0.0,0.0,1.0,0.0
HMNYHQ1,0.6124,0.217,0.783,0.0
HMNYHQ1,0.0,0.0,1.0,0.0
HMNYHQ1,0.0,0.0,1.0,0.0
HMNYHQ1,0.0,0.0,1.0,0.0
HMNYHQ1,0.0,0.0,1.0,0.0
HMNYHQ1,0.4926,0.444,0.556,0.0
HMNYHQ1,0.6696,0.294,0.706,0.0
HMNYHQ1,0.3818,0.126,0.874,0.0
HMNYHQ1,0.0,0.0,1.0,0.0
HMNYHQ1,0.0,0.0,1.0,0.0
HMNYHQ1,0.3612,0.128,0.872,0.0
HMNYHQ1,0.0,0.0,1.0,0.0
HMNYHQ1,0.0,0.0,1.0,0.0
HMNYHQ1,0.0,0.0,1.0,0.0
HMNYHQ1,0.0,0.0,1.0,0.0
HMNYHQ1,0.0,0.0,1.0,0.0
HMNYHQ1,0.3182,0.161,0.839,0.0
HMNYHQ1,0.0,0.0,1.0,0.0
HMNYHQ1,0.0,0.0,1.0,0.0
tim_cook,0.7574,0.317,0.683,0.0
tim_cook,-0.1531,0.0,0.932,0.068
tim_cook,0.0,0.0,1.0,0.0
tim_cook,0.4199,0.141,0.859,0.0
tim_cook,-0.6486,0.0,0.823,0.177
tim_cook,0.6597,0.241,0.759,0.0
tim_cook,0.8625,0.336,0.664,0.0
tim_cook,0.4215,0.141,0.859,0.0
tim_cook,0.7345,0.408,0.592,0.0
tim_cook,0.6588,0.687,0.313,0.0
tim_cook,0.4389,0.171,0.829,0.0
tim_cook,0.4404,0.121,0.879,0.0
tim_cook,0.3818,0.253,0.514,0.233
tim_cook,0.6369,0.181,0.819,0.0
tim_cook,0.0,0.0,1.0,0.0
tim_cook,0.8513,0.57,0.43,0.0
